manufacturer,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
AGUSTA SPA,72.73,78.95,61.54,65.0,70.0,,50.0,52.38,75.0,92.31,81.25,75.0
AIRBUS,79.68,73.74,78.18,82.24,80.13,75.22,77.89,76.7,84.67,84.51,83.76,75.12
AIRBUS HELICOPTERS,74.36,72.29,80.65,80.0,76.54,79.44,80.0,78.18,84.34,78.21,83.52,90.0
AIRBUS INDUSTRIE,82.81,78.13,83.18,84.82,84.67,78.65,81.62,83.06,88.5,88.84,87.34,80.79
BEECH,87.19,74.27,80.39,86.72,82.33,77.86,82.72,87.65,91.6,86.4,85.48,79.62
BELL,81.58,73.74,80.0,82.65,,,,,,,,
BELL HELICOPTER TEXTRON INC,,,,,,,,,,69.57,80.19,85.45
BOEING,80.59,78.86,80.09,82.67,80.26,74.47,75.55,79.72,87.48,87.5,84.36,78.0
BOMBARDIER INC,79.3,78.3,83.23,85.36,84.32,80.01,81.7,82.55,87.61,87.55,84.95,79.49
CANADAIR,74.13,77.88,83.75,82.57,83.54,81.52,80.04,82.56,87.68,85.68,90.62,78.36
CESSNA,74.75,74.9,83.02,76.05,79.18,74.79,78.86,73.08,84.62,83.94,82.38,78.25
CHRISTEN INDUSTRIES INC,,100.0,50.0,50.0,62.5,69.23,63.64,100.0,0.0,83.33,85.0,92.31
CIRRUS DESIGN CORP,77.27,72.39,76.39,80.66,85.8,83.22,74.19,73.01,75.0,84.8,79.04,74.42
CROZIER,,,,,,,,,,,,75.0
DASSAULT,,,,,,75.0,90.77,78.72,97.37,90.0,86.54,75.0
DIAMOND AIRCRAFT IND INC,73.33,90.99,87.39,,,,,,,86.36,88.89,77.05
DOUGLAS,84.79,79.99,81.95,84.52,84.0,79.07,82.27,84.09,90.08,90.43,87.72,82.99
EMBRAER-EMPRESA BRASILEIRA DE,81.0,77.28,82.55,85.52,82.53,76.54,82.35,83.59,88.43,87.43,85.88,80.68
FARMAN OHTM,76.19,79.25,76.06,83.66,82.0,74.04,80.08,77.87,83.17,88.51,84.0,77.09
GULFSTREAM AEROSPACE,85.52,73.8,81.92,86.13,83.16,76.29,84.75,77.4,86.06,85.99,88.34,84.13
LEARJET INC,78.95,81.25,78.69,80.0,85.19,79.66,91.94,91.07,83.05,85.94,92.98,79.25
PIPER/MICHMERHUIZEN P J,81.4,79.01,80.14,83.07,85.38,83.44,80.53,82.15,86.42,86.89,85.42,79.31
RAYTHEON AIRCRAFT COMPANY,,,,,,,,,,,85.34,79.31
ROBINSON HELI/NEWSOME L,80.81,76.53,73.39,85.32,85.85,78.85,59.81,69.84,75.24,89.58,76.19,68.57
SIKORSKY,,84.62,100.0,91.67,76.19,25.0,33.33,61.11,0.0,90.0,100.0,78.57
Average,79.2831578947,78.8652380952,79.1671428571,80.9315,80.7142105263,74.8578947368,75.602,78.7365,76.816,86.0804545455,85.6169565217,79.3233333333
