Lubbock, TX|6492872.28273|2673948.37087
Tunica, MS|7552094.23844|2957771.43262
Appleton, WI|7467126.05182|4046754.39342
San Antonio, TX|6868492.69903|2223687.89963
Kahului, HI|665756.121253|2978116.56607
Muskegon, MI|7664649.41085|3981506.65788
Deadhorse, AK|4405057.81042|7246432.22605
Naples, FL|8659690.64304|2237842.49357
Chattanooga, TN|8002259.8128|3118094.36207
Brunswick, GA|8492480.40002|2805730.32105
International Falls, MN|6990282.12836|4435342.01242
Pago Pago|-4549356.56395|603966.571522
King Salmon, AK|3325969.38631|6393975.33136
Sacramento, California|4728959.79292|3350678.96361
Dillingham, AK|3331011.25615|6554727.19365
Plattsburgh, NY|8564561.53907|4496952.87622
Birmingham, AL|7914695.42647|2910829.74018
Charlotte Amalie, VI|10801802.139|2213206.38037
Hartford, CT|8764348.97027|4230885.00815
Augusta, GA|8358709.08152|3043501.64202
Memphis, TN|7570490.55414|3016089.1812
Portland, ME|8844428.20906|4510431.74286
Aguadilla, Puerto Rico|10570240.4706|2087824.25233
Miami, FL|8837054.5634|2255286.42835
Devils Lake, ND|6600804.89567|4323654.19581
Jacksonville, NC|8709488.04098|3335366.35615
Brainerd, MN|6975715.30857|4180083.37047
Gulfport, MS|7788851.91104|2500134.30248
Lawton, OK|6810016.3988|2822057.14969
Indianapolis, IN|7778564.95895|3610436.92251
Traverse City, MI|7665958.37792|4158892.63781
Hickory, NC|8328805.7857|3307800.07139
State College, PA|8412005.07718|3952406.23006
Oxnard, CA|4848933.3546|2822246.885
Niagara Falls, NY|8225405.01893|4155732.07429
San Francisco, California|4630392.53459|3278150.48272
Yakutat, AK|4203283.0759|5963622.03163
New Bern, NC|8727135.5749|3386792.34512
Petersburg, AK|4446453.77068|5529097.11884
West Palm Beach, FL|8811483.59535|2366050.59292
Arcata, CA|4563912.66655|3648957.07431
Kalispell, MT|5460386.85696|4327272.92142
Scottsbluff, NE|6277545.72839|3602232.5542
Albany, GA|8225829.12426|2768806.84426
Phoenix, AZ|5512572.30957|2658659.194
Eau Claire, WI|7214424.83105|4050903.2532
Alpena, MI|7820297.47737|4241833.0302
Pittsburgh, PA|8257806.31648|3849062.12517
Columbia, MO|7277768.25135|3394595.78576
Duluth, MN|7122895.09655|4254504.73776
Juneau, AK|4422409.5155|5715740.60843
Honolulu, HI|572458.112345|3118073.92676
San Angelo, TX|6649581.09057|2441147.04008
Macon, GA|8230162.91283|2923691.19433
Columbus, GA|8117446.96293|2842372.8647
Melbourne, FL|8699778.9029|2497992.38802
Staunton, VA|8425253.68806|3636894.26175
Vernal, UT|5784033.93904|3441570.57416
Lynchburg, VA|8446819.5619|3554329.94254
Twin Falls, ID|5387402.92339|3705320.30348
Branson, MO|7249631.76737|3123156.66566
Islip, NY|8775381.7716|4107396.68686
Roswell, NM|6238144.61856|2639787.9168
Lewisburg, WV|8324911.27704|3556480.82237
Christiansted, VI|10865397.7178|2163576.00822
Martha's Vineyard, MA|8937006.15053|4272557.89259
Richmond, VA|8586898.98535|3627762.13386
Syracuse, NY|8444706.75183|4240194.65357
Moline, IL|7370950.24827|3707650.09967
